title,desc,year,created_at,cast
L.627,hardware,1909,2020-04-11T11:05:36.000Z,Calla Ballaam
"State of Things, The (Stand der Dinge, Der)",Visionary,1946,2020-05-16T19:53:57.000Z,Amity MacMakin
"Woods, The",hierarchy,1935,2020-04-07T21:49:41.000Z,Dunn Paradis
Candyman: Farewell to the Flesh,Cross-platform,1905,2020-05-26T20:47:18.000Z,Miles Redbourn
Paintball,Open-architected,1972,2020-05-10T12:48:17.000Z,Kippar Aburrow
Brother (Brat),Phased,1952,2020-04-17T20:37:01.000Z,Mortimer Gillford
"English Patient, The",Realigned,1957,2020-04-22T09:28:28.000Z,Kain Vasyaev
"Cosmonaut, The",moderator,1972,2020-05-29T06:58:24.000Z,Herb Simone
Holiday (Jour de fête),array,1941,2020-05-16T21:50:56.000Z,Jerome Spillett
Under African Skies,Customizable,1973,2020-04-02T04:58:11.000Z,Brooks Plumbley
Sounder,Devolved,1974,2020-05-26T18:42:19.000Z,Sherrie Boleyn
"Death of Maria Malibran, The (Der Tod der Maria Malibran)",heuristic,1914,2020-05-30T10:54:24.000Z,Wayland Vogelein
Birth of the Living Dead,Graphic Interface,1917,2020-04-23T12:53:14.000Z,Bianka Gammell
Red Beard (Akahige),Operative,1947,2020-04-25T11:25:43.000Z,Jasmine Custard
"Gun in Betty Lou's Handbag, The",Decentralized,1964,2020-04-19T19:26:39.000Z,Raquel Clutheram
Kiss Me Deadly,Exclusive,1964,2020-04-03T22:05:44.000Z,Orsa Emsley
Twelve,monitoring,1956,2020-05-29T21:13:42.000Z,Brandise Broadist
Vital,artificial intelligence,1926,2020-05-04T09:17:07.000Z,Ysabel Rawstron
Sitting Pretty,Diverse,1913,2020-05-21T17:34:57.000Z,Petronella Thornewell
Tyler Perry's Temptation: Confessions of a Marriage Counselor,well-modulated,1934,2020-05-22T11:44:22.000Z,Nelly Dufaire
Persona,homogeneous,1902,2020-05-05T07:15:01.000Z,Jolene Kindread
FearDotCom (a.k.a. Fear.com) (a.k.a. Fear Dot Com),internet solution,1965,2020-04-24T03:05:18.000Z,Muriel Lalevee
"Walk in the Clouds, A",impactful,1954,2020-04-20T05:53:12.000Z,Gifford Hudel
Forest Warrior,artificial intelligence,2016,2020-05-20T14:44:42.000Z,Bennett Maddox
Better Living Through Circuitry,Realigned,1928,2020-04-09T01:57:40.000Z,Cheslie Le Estut
Ping Pong Playa,product,1964,2020-04-24T18:39:48.000Z,Whitney Ottawell
"White Massai, The (Weisse Massai, Die)",Organic,1957,2020-05-13T17:15:39.000Z,Fanchon Kennermann
Necessary Roughness,tertiary,2020,2020-04-08T10:48:20.000Z,Ermengarde Shoveller
Hui Buh: The Castle Ghost,support,1934,2020-05-14T18:12:41.000Z,Corina Althorp
Kill the Messenger,Profit-focused,1996,2020-04-19T21:59:16.000Z,Ches Kerbey
Two Rabbits (2 Coelhos),hardware,1963,2020-05-23T08:46:45.000Z,Cirilo Kem
Soul Assassin,database,1947,2020-05-11T00:01:37.000Z,Felix Gummery
"Life and Nothing But (Vie et rien d'autre, La)",web-enabled,1907,2020-05-28T07:00:49.000Z,Felice Entreis
The King and Four Queens,structure,1923,2020-04-29T15:54:07.000Z,Ernaline Ionn
Spies (Spione),product,1919,2020-05-29T21:24:16.000Z,Etan Cradey
Lone Star,optimal,2016,2020-04-10T19:09:56.000Z,Romeo Sylvaine
Mark Twain,Switchable,1973,2020-04-27T04:18:48.000Z,Adore Kattenhorn
Dark Prince: The True Story of Dracula,Optional,1895,2020-05-21T06:29:27.000Z,Odille Rany
Film Geek,attitude,1903,2020-05-20T14:48:37.000Z,Elbertine Gogin
Stranger on the Third Floor,info-mediaries,1908,2020-04-18T04:47:47.000Z,Katey Conibear
Just Bea (Bare Bea),Down-sized,1948,2020-05-07T09:24:43.000Z,Dominick Syers
"Hitman, The",Triple-buffered,1990,2020-05-15T15:17:02.000Z,Alethea Matskevich
We Can Be Heroes,Grass-roots,2017,2020-05-15T10:22:39.000Z,Juanita Arnaldy
Prospero's Books,human-resource,1965,2020-05-07T01:00:50.000Z,Ella Dimmack
Dangerous Liaisons,framework,2010,2020-05-01T23:38:37.000Z,Lynea Vaugham
Wrestling (Bræðrabylta),Reverse-engineered,1984,2020-05-19T08:21:43.000Z,Ainsley Chmarny
"Super Inframan, The (Zhong guo chao ren)",internet solution,1947,2020-04-04T01:30:27.000Z,Sigfried Pimme
Almost 18,Intuitive,1906,2020-04-15T04:50:31.000Z,Delmar Humbert
13 Going on 30,interactive,1911,2020-04-29T04:17:30.000Z,Brig Colicot
The Princess Comes Across,logistical,1957,2020-05-02T16:46:22.000Z,Pierre Ludlam
Monkeybone,internet solution,1921,2020-05-08T21:53:03.000Z,Marquita Sercombe
"Lie, The",bottom-line,1933,2020-04-19T15:16:19.000Z,Sergio Berge
Jönssonligan & den svarta diamanten,interactive,2012,2020-05-22T01:43:53.000Z,Heidi Feaveryear
Gleaming the Cube,holistic,1924,2020-04-08T06:45:38.000Z,Brooks Ambroix
"Lucky Texan, The",Polarised,1937,2020-05-05T21:43:35.000Z,Fayre Carnduff
Weekend,demand-driven,1978,2020-05-23T20:18:44.000Z,Mandie Hanse
Seven Thieves,application,1995,2020-04-13T17:13:04.000Z,Codi Drei
Commander Hamilton (Hamilton),task-force,1969,2020-04-21T00:37:08.000Z,Esra Speares
Student Bodies,algorithm,1927,2020-05-16T19:00:06.000Z,Stafford Morot
Rendez-vous,didactic,2010,2020-04-09T19:42:36.000Z,Loutitia Rubenovic
Dinner at Eight,Compatible,1929,2020-05-27T15:40:56.000Z,Adele Rymell
Stop Train 349,application,1989,2020-04-30T09:23:35.000Z,Isabeau Maber
"Elusive Summer of '68, The (Varljivo leto '68)",real-time,1964,2020-05-29T20:46:25.000Z,Imojean Reynalds
Jude the Obscure,pricing structure,1892,2020-05-22T23:40:19.000Z,Guillermo Rozalski
Momma's Man,Public-key,1942,2020-04-26T21:54:14.000Z,Sula Youson
Exorcist: The Beginning,24/7,1949,2020-05-13T15:17:44.000Z,Kelsy Duffree
"Snow on the Pines, The",hub,2016,2020-05-23T09:19:51.000Z,Lyn Scothern
Genocide (Konchû daisensô),paradigm,1972,2020-04-26T13:37:00.000Z,Lazaro Jagielski
Scanners II: The New Order,protocol,1891,2020-04-23T10:56:23.000Z,Harald Feetham
Startup.com,info-mediaries,2011,2020-04-27T17:08:05.000Z,Mina Medlar
Blood Feast,Mandatory,1916,2020-04-04T09:19:42.000Z,Garrett Alvarado
Summer Lovers,secondary,1919,2020-04-10T00:01:53.000Z,Constantine Yates
Cabin Fever,Centralized,2017,2020-04-20T00:05:04.000Z,Sabine Ounsworth
Mammy,object-oriented,1937,2020-05-17T00:26:49.000Z,Ruggiero Daish
Barnacle Bill,object-oriented,1990,2020-04-09T10:49:26.000Z,Sherwin Drains
Over the Hedge,focus group,1914,2020-04-18T20:03:13.000Z,Robin Haysham
Rawhead Rex,Object-based,1964,2020-05-27T11:01:36.000Z,Odessa Seebert
Pootie Tang,Devolved,2003,2020-04-27T15:50:50.000Z,Federica Speer
Critters 3,foreground,1890,2020-05-24T22:34:42.000Z,Gabriellia Franscioni
Election,Expanded,1996,2020-04-23T08:20:47.000Z,Paton Whaley
Den sommeren jeg fylte 15,Compatible,1941,2020-04-03T06:59:47.000Z,Mel Matovic
"Waiting Room, The",Networked,1931,2020-04-17T19:41:40.000Z,Rickert Juppe
Breaking the Rules,mission-critical,2012,2020-05-01T04:33:44.000Z,Ethelin Hanscom
"Serious Man, A",benchmark,1988,2020-05-08T15:34:33.000Z,Petunia Rubinov
Howling III: The Marsupials,foreground,1963,2020-04-18T04:34:16.000Z,Verina McPeeters
Bakhita,archive,1978,2020-05-24T14:28:30.000Z,Dominica Matherson
"Foot Fist Way, The",mobile,1947,2020-05-25T08:05:11.000Z,Nonnah Akess
Ten North Frederick,circuit,1952,2020-05-29T22:29:54.000Z,Charlean Potkin
"Seeker: The Dark Is Rising, The",info-mediaries,2018,2020-04-17T08:42:32.000Z,Bobbie Petrie
Make the Yuletide Gay,systemic,2004,2020-05-20T13:44:36.000Z,Patten Espada
"Plough and the Stars, The",Total,1900,2020-04-07T04:50:12.000Z,Donia Harpur
Into the Forest of Fireflies' Light,help-desk,1920,2020-05-15T21:19:33.000Z,Marion Rassmann
Female Trouble,Public-key,1956,2020-04-22T14:35:37.000Z,Martina Gresch
Sharktopus,Inverse,1937,2020-05-06T07:03:36.000Z,Andreana Iggulden
"Anthropophagus: The Grim Reaper (Antropophagus) (Man Beast) (Savage Island, The) (Zombie's Rage, The)",scalable,1923,2020-04-04T03:03:32.000Z,Tyrus Franz
Lightning Strikes Twice,Universal,1932,2020-04-12T20:59:50.000Z,Hamlin Lawden
Ace Ventura: Pet Detective,web-enabled,2019,2020-05-08T07:43:39.000Z,Killie Golborn
"Date with Judy, A",Down-sized,1987,2020-04-30T05:59:59.000Z,Lurleen Dracksford
"Strange Case of Dr. Jekyll and Miss Osbourne, The (Dr. Jekyll and His Women) (Docteur Jekyll et les femmes)",web-enabled,1970,2020-04-28T05:45:20.000Z,Florentia Broadwood
"Farmer's Wife, The",Inverse,1894,2020-04-02T03:05:07.000Z,Dyana Stone Fewings
Tora-san Our Lovable Tramp (Otoko wa tsurai yo),Cross-group,1915,2020-05-17T23:22:40.000Z,Nathanial Ticic
Christmas Vacation (National Lampoon's Christmas Vacation),dynamic,1956,2020-04-23T20:49:03.000Z,Allis Ongin
Tali-Ihantala 1944,3rd generation,1893,2020-05-07T17:49:33.000Z,Odelia Tippett
1971,website,1978,2020-05-19T10:14:29.000Z,Tyrone Smallwood
Chromophobia,attitude-oriented,1903,2020-04-07T03:41:45.000Z,Melita Annatt
Sons of Perdition,4th generation,1900,2020-04-05T09:37:59.000Z,Ebenezer Evequot
I'm Crazy About Iris Blond,Fully-configurable,2013,2020-04-22T19:08:12.000Z,Selle Langcaster
Into the Forest of Fireflies' Light,Switchable,1925,2020-04-10T21:12:42.000Z,Emlynn Furness
Rudolph the Red-Nosed Reindeer,Persevering,1944,2020-04-20T07:39:02.000Z,Ketti Pfleger
"Klansman, The",emulation,1918,2020-04-07T21:04:24.000Z,Darnell Rudolfer
Flash of Genius,access,1975,2020-05-17T18:06:24.000Z,Denis Heiner
Hitman,Decentralized,1927,2020-05-02T16:21:06.000Z,Aubert Haslen
Lover's Knot,frame,2014,2020-05-14T15:07:20.000Z,Jacklyn Ashingden
In Cold Blood,flexibility,1976,2020-05-22T22:35:44.000Z,Deane Melland
Mi Amigo Hugo,Virtual,2006,2020-04-13T13:29:38.000Z,Aimee Dilleston
Overnight,protocol,1947,2020-04-26T00:49:35.000Z,Kenton Keenleyside
Megacities,infrastructure,1990,2020-04-05T15:15:11.000Z,Donica Ramshay
"Seven-Per-Cent Solution, The",extranet,1925,2020-04-22T07:55:02.000Z,Lemmie Drioli
Workingman's Death,mobile,2011,2020-04-15T00:41:51.000Z,Daisie Rowsell
Suspect,6th generation,1922,2020-05-16T00:17:49.000Z,Annissa Vockings
"Hello, Friend",instruction set,1921,2020-04-13T09:54:32.000Z,Erin Kleinplac
"Khroustaliov, My Car! (Khrustalyov, mashinu!)",Enterprise-wide,1914,2020-05-29T03:58:44.000Z,Nolly Ridulfo
Hannie Caulder,focus group,1992,2020-04-29T04:09:04.000Z,Domeniga Van Halle
Isi & Disi: Amor a lo bestia,Multi-lateral,1991,2020-04-23T10:52:51.000Z,Pail Ezele
King Kong vs. Godzilla (Kingukongu tai Gojira),Automated,2002,2020-04-24T23:15:30.000Z,Lucio East
Camel Spiders,secondary,1995,2020-03-31T12:05:53.000Z,Regan Salterne
Lethal Weapon 4,Horizontal,1915,2020-04-09T22:37:35.000Z,Horacio Urry
Tied,cohesive,1927,2020-05-05T05:35:18.000Z,Joshua Chesters
"Easy Life, The (Il Sorpasso)",Monitored,1923,2020-04-19T03:26:06.000Z,Buck Tomkinson
Birdcage Inn (Paran daemun),local,1892,2020-04-14T17:22:06.000Z,Benedicto Pedron
Let's Get Those English Girls,analyzing,1972,2020-04-11T13:22:16.000Z,Felita Kliment
"Damsel in Distress, A",Ergonomic,1895,2020-05-19T17:40:52.000Z,Mellicent Cleife
"Red Squirrel, The (Ardilla roja, La)",benchmark,1893,2020-05-20T23:19:04.000Z,Willy Bauldrey
"Now You See Him, Now You Don't",Ergonomic,1993,2020-05-18T07:50:25.000Z,Gretchen Merrell
Brokeback Mountain,Fully-configurable,1997,2020-04-07T06:53:43.000Z,Almira Leftly
Good Dick,info-mediaries,1909,2020-05-26T16:24:48.000Z,Bryan Thirlaway
"Long Gray Line, The",extranet,1922,2020-05-27T11:36:33.000Z,Sutherland Maypother
Karlsson Brothers (Bröderna Karlsson),responsive,1976,2020-04-21T05:19:03.000Z,Giuseppe Vezey
Love Ghost (Shibito no koiwazura),Open-source,1971,2020-05-11T07:46:38.000Z,Ephraim Etoile
The D Train,well-modulated,1994,2020-04-13T09:36:54.000Z,Briney Grolle
Barbarosa,groupware,1988,2020-05-18T03:41:59.000Z,Von Tape
My Fellow Americans,success,1961,2020-05-22T14:40:13.000Z,Fay Joanic
Commune,Cloned,1946,2020-04-11T09:58:25.000Z,Cathrin Swinburne
Home for the Holidays,Distributed,1913,2020-05-06T18:36:44.000Z,Franciskus Pouck
I'm Not There,orchestration,1978,2020-04-24T19:51:25.000Z,Fania Staterfield
Closer,interactive,1948,2020-04-07T14:45:23.000Z,Bryon Mulholland
Hell's Angels,cohesive,1948,2020-04-28T06:00:01.000Z,Aile Preist
Last Dance,Fundamental,1892,2020-04-13T22:18:06.000Z,Kev Sondon
Charlie Chan in the Secret Service,Re-engineered,1990,2020-04-14T04:53:15.000Z,Kelsi Spire
"Black Stallion, The",parallelism,1905,2020-04-20T17:15:31.000Z,Dav Aikenhead
Thunderbolt (Pik lik feng),multi-state,1988,2020-05-04T02:23:05.000Z,Clim Sharper
Never Let Me Go,Optional,1971,2020-03-31T21:33:47.000Z,Vladamir Baress
"Black Waters of Echo's Pond, The",needs-based,2013,2020-05-20T19:46:41.000Z,Modestia Orwin
Corvette Summer,national,1942,2020-04-25T20:48:11.000Z,Hyacintha Spinige
The Oblong Box,Innovative,1913,2020-04-05T03:13:29.000Z,Terrell Blasetti
History of the World: Part I,service-desk,1947,2020-04-21T03:21:08.000Z,Ilyssa Ivanusyev
Valkyrie,matrix,1903,2020-04-09T04:56:28.000Z,Renate Jarrard
Reality,success,1991,2020-04-09T10:24:14.000Z,Kylen Dinis
"Death of the Incredible Hulk, The",Open-architected,2015,2020-04-18T19:43:55.000Z,Cassy Edsall
Daylight Robbery,Implemented,1935,2020-05-14T15:23:42.000Z,Perkin Grafham
Hustle,systemic,1901,2020-05-17T16:28:07.000Z,Gabbie Keatley
Young Thugs: Nostalgia (Kishiwada shônen gurentai: Bôkyô),projection,1943,2020-05-02T03:25:41.000Z,Willabella Kenwin
"Experience, The (Tadjrebeh)",zero administration,2004,2020-04-01T21:05:29.000Z,Yank Morlon
Let's Go to Prison,Switchable,1988,2020-05-10T09:39:53.000Z,Crosby Gye
"Harvey Girls, The",open architecture,1895,2020-05-09T16:46:46.000Z,Hamnet Bock
1612: Khroniki smutnogo vremeni,explicit,2001,2020-05-19T12:30:34.000Z,Emile Bellard
Garbage Prince,solution-oriented,1902,2020-04-01T22:39:18.000Z,Florette Peedell
Satisfaction (a.k.a. Girls of Summer),Implemented,1894,2020-05-25T12:38:29.000Z,Alison Charrington
"I Inside, The",info-mediaries,1914,2020-04-29T00:38:20.000Z,Kathy Frier
"Way, Way Back, The",Operative,1895,2020-04-08T06:11:02.000Z,Abran Nattriss
Monsieur Hire,forecast,1956,2020-04-15T09:38:17.000Z,Fabio Benez
D.L. Hughley: Reset,success,1958,2020-05-02T03:52:11.000Z,Frasco Pessler
"Real McCoy, The",stable,1925,2020-05-25T08:39:37.000Z,Angy Oliva
Pumping Iron,24/7,1912,2020-04-06T22:39:35.000Z,Paulo Rummer
For the Love of Benji,implementation,1984,2020-04-26T17:42:14.000Z,Kahlil Kainz
"Fly, The",real-time,1979,2020-05-04T23:48:26.000Z,Arley Comley
"God is Great, I'm Not (Dieu est grand, je suis toute petite)",application,1995,2020-05-26T11:52:17.000Z,Herta Rubertelli
"Next Stop, Greenwich Village",User-centric,1976,2020-05-03T21:43:53.000Z,Jephthah Storrar
Split Second,object-oriented,1909,2020-04-30T05:26:44.000Z,Orland Strover
Big Shots,5th generation,1942,2020-04-02T08:22:22.000Z,Vale Calan
True Crime,Triple-buffered,2010,2020-05-13T16:35:52.000Z,Karalynn Vaines
Shall We Dance,Optimized,1997,2020-04-17T02:12:49.000Z,Lynne Lakin
Highlander,functionalities,1976,2020-04-04T10:02:01.000Z,Carney Rieger
Fifty Shades of Grey,capacity,1909,2020-03-31T12:32:27.000Z,Ebenezer Libermore
Frozen,Pre-emptive,2000,2020-05-04T04:04:25.000Z,Lucretia D'Elia
Next Stop Wonderland,Public-key,1953,2020-04-04T02:13:52.000Z,Georgeanna Limprecht
Thunderpants,neural-net,1932,2020-05-26T19:39:06.000Z,Codie Barbara
Rampage,4th generation,1984,2020-05-04T23:53:15.000Z,Kimberlee De Leek
Amityville: Dollhouse,Robust,1895,2020-05-18T08:54:03.000Z,Winnie Dandy
Crimes of the Heart,multimedia,1970,2020-05-30T05:11:08.000Z,Lorri McElwee
Legend of the Eight Samurai (Satomi hakken-den),info-mediaries,1950,2020-05-14T13:26:39.000Z,Tiffy Maddigan
Mad Love (Sappho),leverage,1945,2020-04-29T13:48:38.000Z,Violante Dorn
Dark Dungeons,open system,1984,2020-04-13T02:28:38.000Z,Jobie Shelly
"Magic of Méliès, The (magie Méliès, La)",fresh-thinking,1902,2020-05-09T07:18:56.000Z,Giffy Sinkins
Transit,archive,1990,2020-05-17T10:15:04.000Z,Merv Spadoni
No Good Deed (a.k.a. The House on Turk Street),Front-line,1975,2020-05-11T05:52:32.000Z,Milty Flahy
"Silent House, The (La casa muda)",neutral,1973,2020-04-12T06:51:41.000Z,Trish Schole
Cencoroll,bi-directional,1901,2020-05-03T04:37:27.000Z,Flory Sleigh
Lymelife,hierarchy,1978,2020-04-15T03:12:01.000Z,Emlynn Ozintsev
Werner - Das muss kesseln!!!,solution-oriented,1940,2020-05-24T12:23:28.000Z,Kermit Ruby
Nothing Sacred,empowering,1990,2020-04-16T10:43:07.000Z,Lilah Carlyle
Runaway Train,Ergonomic,1961,2020-05-09T01:22:41.000Z,Odessa Axcel
Burning Blue,Universal,1925,2020-05-19T08:21:03.000Z,Jayme Ceaser
Tarzan Finds a Son!,website,1988,2020-05-12T05:06:30.000Z,Deeann Lea
Parenti serpenti,Ameliorated,1923,2020-05-03T06:38:36.000Z,Ave Lemmertz
Drag Me to Hell,Graphical User Interface,1907,2020-05-16T04:44:04.000Z,Darn Licciardi
G.O.R.A.,functionalities,2020,2020-04-26T09:39:17.000Z,Carry Dauby
Phantom of the Megaplex,bottom-line,1889,2020-04-30T17:53:06.000Z,Colline Padwick
The Bone Snatcher,discrete,1983,2020-05-16T11:59:51.000Z,Isidor Sineath
All Over Me,encoding,1981,2020-04-30T10:17:25.000Z,Clarence Tollady
FC Venus,open system,1938,2020-04-13T18:11:48.000Z,Bathsheba Mc Carrick
Guilty Hearts,empowering,2005,2020-05-12T07:03:01.000Z,Skipper Le Blond
Nanny McPhee,Multi-lateral,2008,2020-05-15T20:12:26.000Z,Madonna Lamperti
Cleopatra,challenge,1907,2020-05-19T02:53:11.000Z,Esma Joffe
Zorba the Greek (Alexis Zorbas),Persevering,1972,2020-05-06T05:00:28.000Z,Crissie Jude
Hamlet,Intuitive,1898,2020-04-22T10:44:02.000Z,Frederik Knowlman
Barbara,budgetary management,1987,2020-05-07T11:00:54.000Z,Sella Younghusband
Powaqqatsi,actuating,1953,2020-05-25T16:54:32.000Z,Marisa Meeks
Arch of Triumph,installation,2009,2020-05-08T12:37:50.000Z,Klarika Wombwell
"Bridge at Remagen, The",secondary,1930,2020-05-12T10:47:32.000Z,Heywood Ratnage
Wilson,Exclusive,1894,2020-04-02T19:19:12.000Z,Griselda Norley
Planet of the Vampires (Terrore nello spazio),national,2002,2020-05-04T08:57:49.000Z,Evangelina Bairnsfather
"Onion Movie, The",client-driven,1925,2020-04-19T01:18:40.000Z,Nichole Whitsun
Away with Words (San tiao ren),firmware,2010,2020-04-24T03:16:27.000Z,Bethanne Attac
Messenger of Death,grid-enabled,1938,2020-04-08T01:26:10.000Z,Chucho Cramond
"Henry IV, Part I (First Part of King Henry the Fourth, with the Life and Death of Henry Surnamed Hotspur, The)",Innovative,1919,2020-05-29T08:17:20.000Z,Romonda Derbyshire
"Midnight Clear, A",empowering,2012,2020-05-26T15:58:58.000Z,Augustine Pagel
Arthur,extranet,1920,2020-04-29T23:15:13.000Z,Kenna Knotton
Wrong,internet solution,1950,2020-05-22T05:30:27.000Z,Dianne Weale
Rings on Her Fingers,capability,2006,2020-05-17T05:05:30.000Z,Chip Salzberg
"Story of Women (Affaire de femmes, Une)",core,1939,2020-04-22T19:41:17.000Z,Fredia Droghan
Buying the Cow,needs-based,1916,2020-04-29T10:16:42.000Z,Nico Nezey
Dirty Ho (Lan tou He),success,1899,2020-05-06T18:13:11.000Z,Gonzalo Cristea
The End of the Tour,radical,2014,2020-05-15T15:47:12.000Z,Malachi Senechault
Blood Ties,solution-oriented,1942,2020-04-03T17:27:08.000Z,Steffen Quinney
